Episode,Steps,Reward,Epsilon,Memory_Size,Win,Timestamp
1,1,-1.0,0.995,1,0,2025-02-02 12:51:01
2,2,-1.0,0.990025,3,0,2025-02-02 12:51:03
3,1,-1.0,0.985074875,4,0,2025-02-02 12:51:05
4,1,-1.0,0.9801495006250001,5,0,2025-02-02 12:51:06
5,2,-1.0,0.9752487531218751,7,0,2025-02-02 12:51:08
6,4,1.0,0.9703725093562657,11,1,2025-02-02 12:51:12
7,1,-1.0,0.9655206468094844,12,0,2025-02-02 12:51:13
8,1,-1.0,0.960693043575437,13,0,2025-02-02 12:51:14
9,1,-1.0,0.9558895783575597,14,0,2025-02-02 12:51:15
10,2,-1.0,0.9511101304657719,16,0,2025-02-02 12:51:17
11,3,-1.0,0.946354579813443,19,0,2025-02-02 12:51:20
12,1,-1.0,0.9416228069143757,20,0,2025-02-02 12:51:22
13,1,-1.0,0.9369146928798039,21,0,2025-02-02 12:51:23
14,1,1.0,0.9322301194154049,22,1,2025-02-02 12:51:24
15,2,-1.0,0.9275689688183278,24,0,2025-02-02 12:51:26
16,3,-1.0,0.9229311239742362,27,0,2025-02-02 12:51:29
17,2,-1.0,0.918316468354365,29,0,2025-02-02 12:51:31
18,2,-1.0,0.9137248860125932,31,0,2025-02-02 12:51:33
19,1,-1.0,0.9091562615825302,32,0,2025-02-02 12:51:34
20,2,-1.0,0.9046104802746175,34,0,2025-02-02 12:51:38
21,1,1.0,0.9000874278732445,35,1,2025-02-02 12:51:41
22,1,1.0,0.8955869907338783,36,1,2025-02-02 12:51:44
23,1,-1.0,0.8911090557802088,37,0,2025-02-02 12:51:47
24,1,-1.0,0.8866535105013078,38,0,2025-02-02 12:51:50
25,1,1.0,0.8822202429488013,39,1,2025-02-02 12:51:53
