Episode,Steps,Reward,Epsilon,Memory_Size,Outcome,Player_Sum,Dealer_Sum,Dealer_Show_Card,Game_State,Usable_Ace,Is_Natural,Timestamp
1,2,-1,0.995,2,lose,27,3,3,bust,0,False,2025-02-06 22:53:44
2,1,-1,0.990025,3,lose,25,1,1,bust,0,False,2025-02-06 22:53:44
3,1,1,0.985074875,4,win,18,6,6,stick,0,False,2025-02-06 22:53:44
4,1,1,0.9801495006250001,5,win,13,10,10,stick,0,False,2025-02-06 22:53:44
5,4,1,0.9752487531218751,9,win,19,5,5,stick,0,False,2025-02-06 22:53:44
6,1,-1,0.9703725093562657,10,lose,22,9,9,bust,0,False,2025-02-06 22:53:44
7,1,-1,0.9655206468094844,11,lose,29,4,4,bust,0,False,2025-02-06 22:53:44
8,2,1,0.960693043575437,13,win,15,10,10,stick,0,False,2025-02-06 22:53:44
9,1,-1,0.9558895783575597,14,lose,30,6,6,bust,0,False,2025-02-06 22:53:44
10,2,1,0.9511101304657719,16,win,16,10,10,stick,0,False,2025-02-06 22:53:44
11,1,-1,0.946354579813443,17,lose,23,10,10,bust,0,False,2025-02-06 22:53:44
12,2,-1,0.9416228069143757,19,lose,24,6,6,bust,0,False,2025-02-06 22:53:44
13,1,1,0.9369146928798039,20,win,13,9,9,stick,1,False,2025-02-06 22:53:44
14,4,-1,0.9322301194154049,24,lose,29,4,4,bust,0,False,2025-02-06 22:53:44
15,2,-1,0.9275689688183278,26,lose,26,6,6,bust,0,False,2025-02-06 22:53:44
16,2,1,0.9229311239742362,28,win,20,10,10,stick,1,False,2025-02-06 22:53:44
17,1,-1,0.918316468354365,29,lose,24,10,10,bust,0,False,2025-02-06 22:53:44
18,1,1.5,0.9137248860125932,30,natural,21,10,10,natural,1,True,2025-02-06 22:53:44
19,2,1,0.9091562615825302,32,win,14,10,10,stick,0,False,2025-02-06 22:53:44
20,1,-1,0.9046104802746175,33,lose,23,1,1,bust,0,False,2025-02-06 22:53:46
21,1,1,0.9000874278732445,34,win,17,1,1,stick,0,False,2025-02-06 22:53:48
22,2,1,0.8955869907338783,36,win,15,6,6,stick,0,False,2025-02-06 22:53:50
23,5,-1,0.8911090557802088,41,lose,24,3,3,bust,0,False,2025-02-06 22:53:51
24,1,1,0.8866535105013078,42,win,16,10,10,stick,0,False,2025-02-06 22:53:53
25,1,1,0.8822202429488013,43,win,20,8,8,stick,0,False,2025-02-06 22:53:54
26,1,1.5,0.8778091417340573,44,natural,21,3,3,natural,1,True,2025-02-06 22:53:56
27,1,1,0.8734200960253871,45,win,10,1,1,stick,0,False,2025-02-06 22:53:57
28,1,1,0.8690529955452602,46,win,15,10,10,stick,0,False,2025-02-06 22:53:59
29,2,-1,0.8647077305675338,48,lose,22,10,10,bust,0,False,2025-02-06 22:54:01
30,1,1,0.8603841919146962,49,win,13,8,8,stick,0,False,2025-02-06 22:54:02
31,1,1,0.8560822709551227,50,win,17,5,5,stick,0,False,2025-02-06 22:54:04
32,1,1,0.851801859600347,51,win,12,6,6,stick,0,False,2025-02-06 22:54:05
33,1,1,0.8475428503023453,52,win,12,9,9,stick,0,False,2025-02-06 22:54:06
34,1,1,0.8433051360508336,53,win,15,2,2,stick,0,False,2025-02-06 22:54:08
35,2,1,0.8390886103705794,55,win,19,8,8,stick,0,False,2025-02-06 22:54:09
36,1,1,0.8348931673187264,56,win,11,10,10,stick,0,False,2025-02-06 22:54:11
37,1,-1,0.8307187014821328,57,lose,23,9,9,bust,0,False,2025-02-06 22:54:12
38,2,-1,0.8265651079747222,59,lose,29,5,5,bust,0,False,2025-02-06 22:54:13
39,2,1,0.8224322824348486,61,win,10,8,8,stick,0,False,2025-02-06 22:54:15
40,2,-1,0.8183201210226743,63,lose,26,7,7,bust,0,False,2025-02-06 22:54:17
41,1,1,0.8142285204175609,64,win,14,5,5,stick,0,False,2025-02-06 22:54:18
42,1,1,0.810157377815473,65,win,17,6,6,stick,1,False,2025-02-06 22:54:19
43,1,1,0.8061065909263957,66,win,16,7,7,stick,0,False,2025-02-06 22:54:21
44,2,1.5,0.8020760579717637,68,natural,21,10,10,natural,0,True,2025-02-06 22:54:23
45,1,1.5,0.798065677681905,69,natural,21,6,6,natural,1,True,2025-02-06 22:54:24
46,2,1,0.7940753492934954,71,win,15,8,8,stick,0,False,2025-02-06 22:54:26
47,2,1,0.7901049725470279,73,win,20,3,3,stick,0,False,2025-02-06 22:54:27
48,1,1,0.7861544476842928,74,win,14,4,4,stick,0,False,2025-02-06 22:54:28
49,1,1,0.7822236754458713,75,win,17,6,6,stick,1,False,2025-02-06 22:54:30
50,1,1,0.778312557068642,76,win,20,9,9,stick,0,False,2025-02-06 22:54:31
